Municipio;Microrregiao;Mesorregiao;Uf_nome;Uf;Regiao
Joanésia;Ipatinga;Vale do Rio Doce;Minas Gerais;MG;Sudeste
João Monlevade;Itabira;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
João Pinheiro;Paracatu;Noroeste de Minas;Minas Gerais;MG;Sudeste
Joaquim Felício;Curvelo;Central Mineira;Minas Gerais;MG;Sudeste
Jordânia;Almenara;Jequitinhonha;Minas Gerais;MG;Sudeste
José Gonçalves de Minas;Capelinha;Jequitinhonha;Minas Gerais;MG;Sudeste
José Raydan;Peçanha;Vale do Rio Doce;Minas Gerais;MG;Sudeste
Josenópolis;Grão Mogol;Norte de Minas;Minas Gerais;MG;Sudeste
Nova União;Itabira;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
Juatuba;Belo Horizonte;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
Juiz de Fora;Juiz de Fora;Zona da Mata;Minas Gerais;MG;Sudeste
Juramento;Montes Claros;Norte de Minas;Minas Gerais;MG;Sudeste
Juruaia;São Sebastião do Paraíso;Sul/Sudoeste de Minas;Minas Gerais;MG;Sudeste
Juvenília;Januária;Norte de Minas;Minas Gerais;MG;Sudeste
Ladainha;Teófilo Otoni;Vale do Mucuri;Minas Gerais;MG;Sudeste
Lagamar;Paracatu;Noroeste de Minas;Minas Gerais;MG;Sudeste
Lagoa da Prata;Bom Despacho;Central Mineira;Minas Gerais;MG;Sudeste
Lagoa dos Patos;Pirapora;Norte de Minas;Minas Gerais;MG;Sudeste
Lagoa Dourada;São João Del Rei;Campo das Vertentes;Minas Gerais;MG;Sudeste
Lagoa Formosa;Patos de Minas;Triângulo Mineiro/Alto Paranaíba;Minas Gerais;MG;Sudeste
Lagoa Grande;Paracatu;Noroeste de Minas;Minas Gerais;MG;Sudeste
Lagoa Santa;Belo Horizonte;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
Lajinha;Manhuaçu;Zona da Mata;Minas Gerais;MG;Sudeste
Lambari;São Lourenço;Sul/Sudoeste de Minas;Minas Gerais;MG;Sudeste
Lamim;Viçosa;Zona da Mata;Minas Gerais;MG;Sudeste
Laranjal;Cataguases;Zona da Mata;Minas Gerais;MG;Sudeste
Lassance;Pirapora;Norte de Minas;Minas Gerais;MG;Sudeste
Lavras;Lavras;Campo das Vertentes;Minas Gerais;MG;Sudeste
Leandro Ferreira;Bom Despacho;Central Mineira;Minas Gerais;MG;Sudeste
Leme do Prado;Capelinha;Jequitinhonha;Minas Gerais;MG;Sudeste
Leopoldina;Cataguases;Zona da Mata;Minas Gerais;MG;Sudeste
Liberdade;Andrelândia;Sul/Sudoeste de Minas;Minas Gerais;MG;Sudeste
Lima Duarte;Juiz de Fora;Zona da Mata;Minas Gerais;MG;Sudeste
Limeira do Oeste;Frutal;Triângulo Mineiro/Alto Paranaíba;Minas Gerais;MG;Sudeste
Lontra;Montes Claros;Norte de Minas;Minas Gerais;MG;Sudeste
Luisburgo;Manhuaçu;Zona da Mata;Minas Gerais;MG;Sudeste
Luislândia;Montes Claros;Norte de Minas;Minas Gerais;MG;Sudeste
Luminárias;Lavras;Campo das Vertentes;Minas Gerais;MG;Sudeste
Luz;Bom Despacho;Central Mineira;Minas Gerais;MG;Sudeste
Machacalis;Nanuque;Vale do Mucuri;Minas Gerais;MG;Sudeste
Machado;Alfenas;Sul/Sudoeste de Minas;Minas Gerais;MG;Sudeste
Madre de Deus de Minas;São João Del Rei;Campo das Vertentes;Minas Gerais;MG;Sudeste
Malacacheta;Teófilo Otoni;Vale do Mucuri;Minas Gerais;MG;Sudeste
Mamonas;Janaúba;Norte de Minas;Minas Gerais;MG;Sudeste
Manga;Januária;Norte de Minas;Minas Gerais;MG;Sudeste
Manhuaçu;Manhuaçu;Zona da Mata;Minas Gerais;MG;Sudeste
Manhumirim;Manhuaçu;Zona da Mata;Minas Gerais;MG;Sudeste
Mantena;Mantena;Vale do Rio Doce;Minas Gerais;MG;Sudeste
Maravilhas;Sete Lagoas;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
Mar de Espanha;Juiz de Fora;Zona da Mata;Minas Gerais;MG;Sudeste
Maria da Fé;Itajubá;Sul/Sudoeste de Minas;Minas Gerais;MG;Sudeste
Mariana;Ouro Preto;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
Marilac;Governador Valadares;Vale do Rio Doce;Minas Gerais;MG;Sudeste
Mário Campos;Belo Horizonte;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
Maripá de Minas;Juiz de Fora;Zona da Mata;Minas Gerais;MG;Sudeste
Marliéria;Ipatinga;Vale do Rio Doce;Minas Gerais;MG;Sudeste
Marmelópolis;Itajubá;Sul/Sudoeste de Minas;Minas Gerais;MG;Sudeste
Martinho Campos;Bom Despacho;Central Mineira;Minas Gerais;MG;Sudeste
Martins Soares;Manhuaçu;Zona da Mata;Minas Gerais;MG;Sudeste
Mata Verde;Almenara;Jequitinhonha;Minas Gerais;MG;Sudeste
Materlândia;Guanhães;Vale do Rio Doce;Minas Gerais;MG;Sudeste
Mateus Leme;Belo Horizonte;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
Matias Barbosa;Juiz de Fora;Zona da Mata;Minas Gerais;MG;Sudeste
Matias Cardoso;Januária;Norte de Minas;Minas Gerais;MG;Sudeste
Matipó;Manhuaçu;Zona da Mata;Minas Gerais;MG;Sudeste
Mato Verde;Janaúba;Norte de Minas;Minas Gerais;MG;Sudeste
Matozinhos;Sete Lagoas;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
Matutina;Patos de Minas;Triângulo Mineiro/Alto Paranaíba;Minas Gerais;MG;Sudeste
Medeiros;Piuí;Oeste de Minas;Minas Gerais;MG;Sudeste
Medina;Pedra Azul;Jequitinhonha;Minas Gerais;MG;Sudeste
Mendes Pimentel;Mantena;Vale do Rio Doce;Minas Gerais;MG;Sudeste
Mercês;Ubá;Zona da Mata;Minas Gerais;MG;Sudeste
Mesquita;Ipatinga;Vale do Rio Doce;Minas Gerais;MG;Sudeste
Minas Novas;Capelinha;Jequitinhonha;Minas Gerais;MG;Sudeste
Minduri;Andrelândia;Sul/Sudoeste de Minas;Minas Gerais;MG;Sudeste
Mirabela;Montes Claros;Norte de Minas;Minas Gerais;MG;Sudeste
Miradouro;Muriaé;Zona da Mata;Minas Gerais;MG;Sudeste
Miraí;Muriaé;Zona da Mata;Minas Gerais;MG;Sudeste
Miravânia;Januária;Norte de Minas;Minas Gerais;MG;Sudeste
Moeda;Itaguara;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
Moema;Bom Despacho;Central Mineira;Minas Gerais;MG;Sudeste
Monjolos;Curvelo;Central Mineira;Minas Gerais;MG;Sudeste
Monsenhor Paulo;Varginha;Sul/Sudoeste de Minas;Minas Gerais;MG;Sudeste
Montalvânia;Januária;Norte de Minas;Minas Gerais;MG;Sudeste
Monte Alegre de Minas;Uberlândia;Triângulo Mineiro/Alto Paranaíba;Minas Gerais;MG;Sudeste
Monte Azul;Janaúba;Norte de Minas;Minas Gerais;MG;Sudeste
Monte Belo;São Sebastião do Paraíso;Sul/Sudoeste de Minas;Minas Gerais;MG;Sudeste
Monte Carmelo;Patrocínio;Triângulo Mineiro/Alto Paranaíba;Minas Gerais;MG;Sudeste
Monte Formoso;Almenara;Jequitinhonha;Minas Gerais;MG;Sudeste
Monte Santo de Minas;São Sebastião do Paraíso;Sul/Sudoeste de Minas;Minas Gerais;MG;Sudeste
Montes Claros;Montes Claros;Norte de Minas;Minas Gerais;MG;Sudeste
Monte Sião;Poços de Caldas;Sul/Sudoeste de Minas;Minas Gerais;MG;Sudeste
Montezuma;Salinas;Norte de Minas;Minas Gerais;MG;Sudeste
Morada Nova de Minas;Três Marias;Central Mineira;Minas Gerais;MG;Sudeste
Morro da Garça;Curvelo;Central Mineira;Minas Gerais;MG;Sudeste
Morro do Pilar;Conceição do Mato Dentro;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
Munhoz;Pouso Alegre;Sul/Sudoeste de Minas;Minas Gerais;MG;Sudeste
Muriaé;Muriaé;Zona da Mata;Minas Gerais;MG;Sudeste
Mutum;Aimorés;Vale do Rio Doce;Minas Gerais;MG;Sudeste
Muzambinho;São Sebastião do Paraíso;Sul/Sudoeste de Minas;Minas Gerais;MG;Sudeste
Nacip Raydan;Governador Valadares;Vale do Rio Doce;Minas Gerais;MG;Sudeste
Nanuque;Nanuque;Vale do Mucuri;Minas Gerais;MG;Sudeste
Naque;Ipatinga;Vale do Rio Doce;Minas Gerais;MG;Sudeste
Natalândia;Unaí;Noroeste de Minas;Minas Gerais;MG;Sudeste
Natércia;Santa Rita do Sapucaí;Sul/Sudoeste de Minas;Minas Gerais;MG;Sudeste
Nazareno;São João Del Rei;Campo das Vertentes;Minas Gerais;MG;Sudeste
Nepomuceno;Lavras;Campo das Vertentes;Minas Gerais;MG;Sudeste
Ninheira;Salinas;Norte de Minas;Minas Gerais;MG;Sudeste
Nova Belém;Mantena;Vale do Rio Doce;Minas Gerais;MG;Sudeste
Nova Era;Itabira;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
Nova Lima;Belo Horizonte;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
Nova Módica;Governador Valadares;Vale do Rio Doce;Minas Gerais;MG;Sudeste
Nova Ponte;Araxá;Triângulo Mineiro/Alto Paranaíba;Minas Gerais;MG;Sudeste
Nova Porteirinha;Janaúba;Norte de Minas;Minas Gerais;MG;Sudeste
Nova Resende;São Sebastião do Paraíso;Sul/Sudoeste de Minas;Minas Gerais;MG;Sudeste
Nova Serrana;Divinópolis;Oeste de Minas;Minas Gerais;MG;Sudeste
Novo Cruzeiro;Araçuaí;Jequitinhonha;Minas Gerais;MG;Sudeste
Novo Oriente de Minas;Teófilo Otoni;Vale do Mucuri;Minas Gerais;MG;Sudeste
Novorizonte;Salinas;Norte de Minas;Minas Gerais;MG;Sudeste
Olaria;Juiz de Fora;Zona da Mata;Minas Gerais;MG;Sudeste
Olhos-d'Água;Bocaiúva;Norte de Minas;Minas Gerais;MG;Sudeste
Olímpio Noronha;São Lourenço;Sul/Sudoeste de Minas;Minas Gerais;MG;Sudeste
Oliveira;Oliveira;Oeste de Minas;Minas Gerais;MG;Sudeste
Oliveira Fortes;Juiz de Fora;Zona da Mata;Minas Gerais;MG;Sudeste
Onça de Pitangui;Pará de Minas;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
Oratórios;Ponte Nova;Zona da Mata;Minas Gerais;MG;Sudeste
Orizânia;Muriaé;Zona da Mata;Minas Gerais;MG;Sudeste
Ouro Branco;Conselheiro Lafaiete;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
Ouro Fino;Poços de Caldas;Sul/Sudoeste de Minas;Minas Gerais;MG;Sudeste
Ouro Preto;Ouro Preto;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
Ouro Verde de Minas;Teófilo Otoni;Vale do Mucuri;Minas Gerais;MG;Sudeste
Padre Carvalho;Grão Mogol;Norte de Minas;Minas Gerais;MG;Sudeste
Padre Paraíso;Araçuaí;Jequitinhonha;Minas Gerais;MG;Sudeste
Paineiras;Três Marias;Central Mineira;Minas Gerais;MG;Sudeste
Pains;Formiga;Oeste de Minas;Minas Gerais;MG;Sudeste
Pai Pedro;Janaúba;Norte de Minas;Minas Gerais;MG;Sudeste
Paiva;Juiz de Fora;Zona da Mata;Minas Gerais;MG;Sudeste
Palma;Cataguases;Zona da Mata;Minas Gerais;MG;Sudeste
Palmópolis;Almenara;Jequitinhonha;Minas Gerais;MG;Sudeste
Papagaios;Sete Lagoas;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
Paracatu;Paracatu;Noroeste de Minas;Minas Gerais;MG;Sudeste
Pará de Minas;Pará de Minas;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
Paraguaçu;Alfenas;Sul/Sudoeste de Minas;Minas Gerais;MG;Sudeste
Paraisópolis;Itajubá;Sul/Sudoeste de Minas;Minas Gerais;MG;Sudeste
Paraopeba;Sete Lagoas;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
Passabém;Conceição do Mato Dentro;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
Passa Quatro;São Lourenço;Sul/Sudoeste de Minas;Minas Gerais;MG;Sudeste
Passa Tempo;Oliveira;Oeste de Minas;Minas Gerais;MG;Sudeste
Passa Vinte;Andrelândia;Sul/Sudoeste de Minas;Minas Gerais;MG;Sudeste
Passos;Passos;Sul/Sudoeste de Minas;Minas Gerais;MG;Sudeste
Patis;Montes Claros;Norte de Minas;Minas Gerais;MG;Sudeste
Patos de Minas;Patos de Minas;Triângulo Mineiro/Alto Paranaíba;Minas Gerais;MG;Sudeste
Patrocínio;Patrocínio;Triângulo Mineiro/Alto Paranaíba;Minas Gerais;MG;Sudeste
Patrocínio do Muriaé;Muriaé;Zona da Mata;Minas Gerais;MG;Sudeste
Paula Cândido;Viçosa;Zona da Mata;Minas Gerais;MG;Sudeste
Paulistas;Guanhães;Vale do Rio Doce;Minas Gerais;MG;Sudeste
Pavão;Teófilo Otoni;Vale do Mucuri;Minas Gerais;MG;Sudeste
Peçanha;Peçanha;Vale do Rio Doce;Minas Gerais;MG;Sudeste
Pedra Azul;Pedra Azul;Jequitinhonha;Minas Gerais;MG;Sudeste
Pedra Bonita;Manhuaçu;Zona da Mata;Minas Gerais;MG;Sudeste
Pedra do Anta;Viçosa;Zona da Mata;Minas Gerais;MG;Sudeste
Pedra do Indaiá;Formiga;Oeste de Minas;Minas Gerais;MG;Sudeste
Pedra Dourada;Muriaé;Zona da Mata;Minas Gerais;MG;Sudeste
Pedralva;Santa Rita do Sapucaí;Sul/Sudoeste de Minas;Minas Gerais;MG;Sudeste
Pedras de Maria da Cruz;Januária;Norte de Minas;Minas Gerais;MG;Sudeste
Pedrinópolis;Araxá;Triângulo Mineiro/Alto Paranaíba;Minas Gerais;MG;Sudeste
Pedro Leopoldo;Belo Horizonte;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
Pedro Teixeira;Juiz de Fora;Zona da Mata;Minas Gerais;MG;Sudeste
Pequeri;Juiz de Fora;Zona da Mata;Minas Gerais;MG;Sudeste
Pequi;Sete Lagoas;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
Perdigão;Divinópolis;Oeste de Minas;Minas Gerais;MG;Sudeste
Perdizes;Araxá;Triângulo Mineiro/Alto Paranaíba;Minas Gerais;MG;Sudeste
Perdões;Campo Belo;Oeste de Minas;Minas Gerais;MG;Sudeste
Periquito;Ipatinga;Vale do Rio Doce;Minas Gerais;MG;Sudeste
Pescador;Governador Valadares;Vale do Rio Doce;Minas Gerais;MG;Sudeste
Piau;Juiz de Fora;Zona da Mata;Minas Gerais;MG;Sudeste
Piedade de Caratinga;Caratinga;Vale do Rio Doce;Minas Gerais;MG;Sudeste
Piedade de Ponte Nova;Ponte Nova;Zona da Mata;Minas Gerais;MG;Sudeste
Piedade do Rio Grande;São João Del Rei;Campo das Vertentes;Minas Gerais;MG;Sudeste
Piedade dos Gerais;Itaguara;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
Pimenta;Formiga;Oeste de Minas;Minas Gerais;MG;Sudeste
Pingo-d'Água;Caratinga;Vale do Rio Doce;Minas Gerais;MG;Sudeste
Pintópolis;Januária;Norte de Minas;Minas Gerais;MG;Sudeste
Piracema;Oliveira;Oeste de Minas;Minas Gerais;MG;Sudeste
Pirajuba;Frutal;Triângulo Mineiro/Alto Paranaíba;Minas Gerais;MG;Sudeste
Piranga;Viçosa;Zona da Mata;Minas Gerais;MG;Sudeste
Piranguçu;Itajubá;Sul/Sudoeste de Minas;Minas Gerais;MG;Sudeste
Piranguinho;Itajubá;Sul/Sudoeste de Minas;Minas Gerais;MG;Sudeste
Pirapetinga;Cataguases;Zona da Mata;Minas Gerais;MG;Sudeste
Pirapora;Pirapora;Norte de Minas;Minas Gerais;MG;Sudeste
Piraúba;Ubá;Zona da Mata;Minas Gerais;MG;Sudeste
Pitangui;Pará de Minas;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
Piumhi;Piuí;Oeste de Minas;Minas Gerais;MG;Sudeste
Planura;Frutal;Triângulo Mineiro/Alto Paranaíba;Minas Gerais;MG;Sudeste
Poço Fundo;Alfenas;Sul/Sudoeste de Minas;Minas Gerais;MG;Sudeste
Poços de Caldas;Poços de Caldas;Sul/Sudoeste de Minas;Minas Gerais;MG;Sudeste
Pocrane;Aimorés;Vale do Rio Doce;Minas Gerais;MG;Sudeste
Pompéu;Três Marias;Central Mineira;Minas Gerais;MG;Sudeste
Ponte Nova;Ponte Nova;Zona da Mata;Minas Gerais;MG;Sudeste
Ponto Chique;Montes Claros;Norte de Minas;Minas Gerais;MG;Sudeste
Ponto dos Volantes;Araçuaí;Jequitinhonha;Minas Gerais;MG;Sudeste
Porteirinha;Janaúba;Norte de Minas;Minas Gerais;MG;Sudeste
Porto Firme;Viçosa;Zona da Mata;Minas Gerais;MG;Sudeste
Poté;Teófilo Otoni;Vale do Mucuri;Minas Gerais;MG;Sudeste
Pouso Alegre;Pouso Alegre;Sul/Sudoeste de Minas;Minas Gerais;MG;Sudeste
Pouso Alto;São Lourenço;Sul/Sudoeste de Minas;Minas Gerais;MG;Sudeste
Prados;São João Del Rei;Campo das Vertentes;Minas Gerais;MG;Sudeste
Prata;Uberlândia;Triângulo Mineiro/Alto Paranaíba;Minas Gerais;MG;Sudeste
Pratápolis;Passos;Sul/Sudoeste de Minas;Minas Gerais;MG;Sudeste
Pratinha;Araxá;Triângulo Mineiro/Alto Paranaíba;Minas Gerais;MG;Sudeste
Presidente Bernardes;Viçosa;Zona da Mata;Minas Gerais;MG;Sudeste
Presidente Juscelino;Curvelo;Central Mineira;Minas Gerais;MG;Sudeste
Presidente Kubitschek;Diamantina;Jequitinhonha;Minas Gerais;MG;Sudeste
Presidente Olegário;Paracatu;Noroeste de Minas;Minas Gerais;MG;Sudeste
Alto Jequitibá;Manhuaçu;Zona da Mata;Minas Gerais;MG;Sudeste
Prudente de Morais;Sete Lagoas;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
Quartel Geral;Bom Despacho;Central Mineira;Minas Gerais;MG;Sudeste
Queluzito;Conselheiro Lafaiete;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
Raposos;Belo Horizonte;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
Raul Soares;Ponte Nova;Zona da Mata;Minas Gerais;MG;Sudeste
Recreio;Cataguases;Zona da Mata;Minas Gerais;MG;Sudeste
Reduto;Manhuaçu;Zona da Mata;Minas Gerais;MG;Sudeste
Resende Costa;São João Del Rei;Campo das Vertentes;Minas Gerais;MG;Sudeste
Resplendor;Aimorés;Vale do Rio Doce;Minas Gerais;MG;Sudeste
Ressaquinha;Barbacena;Campo das Vertentes;Minas Gerais;MG;Sudeste
Riachinho;Pirapora;Norte de Minas;Minas Gerais;MG;Sudeste
Riacho dos Machados;Janaúba;Norte de Minas;Minas Gerais;MG;Sudeste
Ribeirão das Neves;Belo Horizonte;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
Ribeirão Vermelho;Lavras;Campo das Vertentes;Minas Gerais;MG;Sudeste
Rio Acima;Belo Horizonte;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
Rio Casca;Ponte Nova;Zona da Mata;Minas Gerais;MG;Sudeste
Rio Doce;Ponte Nova;Zona da Mata;Minas Gerais;MG;Sudeste
Rio do Prado;Almenara;Jequitinhonha;Minas Gerais;MG;Sudeste
Rio Espera;Viçosa;Zona da Mata;Minas Gerais;MG;Sudeste
Rio Manso;Itaguara;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
Rio Novo;Juiz de Fora;Zona da Mata;Minas Gerais;MG;Sudeste
Rio Paranaíba;Patos de Minas;Triângulo Mineiro/Alto Paranaíba;Minas Gerais;MG;Sudeste
Rio Pardo de Minas;Salinas;Norte de Minas;Minas Gerais;MG;Sudeste
Rio Piracicaba;Itabira;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
Rio Pomba;Ubá;Zona da Mata;Minas Gerais;MG;Sudeste
Rio Preto;Juiz de Fora;Zona da Mata;Minas Gerais;MG;Sudeste
Rio Vermelho;Conceição do Mato Dentro;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
Ritápolis;São João Del Rei;Campo das Vertentes;Minas Gerais;MG;Sudeste
Rochedo de Minas;Juiz de Fora;Zona da Mata;Minas Gerais;MG;Sudeste
Rodeiro;Ubá;Zona da Mata;Minas Gerais;MG;Sudeste
Romaria;Patrocínio;Triângulo Mineiro/Alto Paranaíba;Minas Gerais;MG;Sudeste
Rosário da Limeira;Muriaé;Zona da Mata;Minas Gerais;MG;Sudeste
Rubelita;Salinas;Norte de Minas;Minas Gerais;MG;Sudeste
Rubim;Almenara;Jequitinhonha;Minas Gerais;MG;Sudeste
Sabará;Belo Horizonte;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
Sabinópolis;Guanhães;Vale do Rio Doce;Minas Gerais;MG;Sudeste
Sacramento;Araxá;Triângulo Mineiro/Alto Paranaíba;Minas Gerais;MG;Sudeste
Salinas;Salinas;Norte de Minas;Minas Gerais;MG;Sudeste
Salto da Divisa;Almenara;Jequitinhonha;Minas Gerais;MG;Sudeste
Santa Bárbara;Itabira;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
Santa Bárbara do Leste;Caratinga;Vale do Rio Doce;Minas Gerais;MG;Sudeste
Santa Bárbara do Monte Verde;Juiz de Fora;Zona da Mata;Minas Gerais;MG;Sudeste
Santa Bárbara do Tugúrio;Barbacena;Campo das Vertentes;Minas Gerais;MG;Sudeste
Santa Cruz de Minas;São João Del Rei;Campo das Vertentes;Minas Gerais;MG;Sudeste
Santa Cruz de Salinas;Salinas;Norte de Minas;Minas Gerais;MG;Sudeste
Santa Cruz do Escalvado;Ponte Nova;Zona da Mata;Minas Gerais;MG;Sudeste
Santa Efigênia de Minas;Guanhães;Vale do Rio Doce;Minas Gerais;MG;Sudeste
Santa Fé de Minas;Pirapora;Norte de Minas;Minas Gerais;MG;Sudeste
Santa Helena de Minas;Nanuque;Vale do Mucuri;Minas Gerais;MG;Sudeste
Santa Juliana;Araxá;Triângulo Mineiro/Alto Paranaíba;Minas Gerais;MG;Sudeste
Santa Luzia;Belo Horizonte;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
Santa Margarida;Manhuaçu;Zona da Mata;Minas Gerais;MG;Sudeste
Santa Maria de Itabira;Itabira;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
Santa Maria do Salto;Almenara;Jequitinhonha;Minas Gerais;MG;Sudeste
Santa Maria do Suaçuí;Peçanha;Vale do Rio Doce;Minas Gerais;MG;Sudeste
Santana da Vargem;Varginha;Sul/Sudoeste de Minas;Minas Gerais;MG;Sudeste
Santana de Cataguases;Cataguases;Zona da Mata;Minas Gerais;MG;Sudeste
Santana de Pirapama;Sete Lagoas;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
Santana do Deserto;Juiz de Fora;Zona da Mata;Minas Gerais;MG;Sudeste
Santana do Garambéu;São João Del Rei;Campo das Vertentes;Minas Gerais;MG;Sudeste
Santana do Jacaré;Campo Belo;Oeste de Minas;Minas Gerais;MG;Sudeste
Santana do Manhuaçu;Manhuaçu;Zona da Mata;Minas Gerais;MG;Sudeste
Santana do Paraíso;Ipatinga;Vale do Rio Doce;Minas Gerais;MG;Sudeste
Santana do Riacho;Sete Lagoas;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
Santana dos Montes;Conselheiro Lafaiete;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
Santa Rita de Caldas;Poços de Caldas;Sul/Sudoeste de Minas;Minas Gerais;MG;Sudeste
Santa Rita de Jacutinga;Juiz de Fora;Zona da Mata;Minas Gerais;MG;Sudeste
Santa Rita de Minas;Caratinga;Vale do Rio Doce;Minas Gerais;MG;Sudeste
Santa Rita de Ibitipoca;Juiz de Fora;Zona da Mata;Minas Gerais;MG;Sudeste
Santa Rita do Itueto;Aimorés;Vale do Rio Doce;Minas Gerais;MG;Sudeste
Santa Rita do Sapucaí;Santa Rita do Sapucaí;Sul/Sudoeste de Minas;Minas Gerais;MG;Sudeste
Santa Rosa da Serra;Patos de Minas;Triângulo Mineiro/Alto Paranaíba;Minas Gerais;MG;Sudeste
Santa Vitória;Ituiutaba;Triângulo Mineiro/Alto Paranaíba;Minas Gerais;MG;Sudeste
Santo Antônio do Amparo;Oliveira;Oeste de Minas;Minas Gerais;MG;Sudeste
Santo Antônio do Aventureiro;Cataguases;Zona da Mata;Minas Gerais;MG;Sudeste
Santo Antônio do Grama;Ponte Nova;Zona da Mata;Minas Gerais;MG;Sudeste
Santo Antônio do Itambé;Conceição do Mato Dentro;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
Santo Antônio do Jacinto;Almenara;Jequitinhonha;Minas Gerais;MG;Sudeste
Santo Antônio do Monte;Divinópolis;Oeste de Minas;Minas Gerais;MG;Sudeste
Santo Antônio do Retiro;Salinas;Norte de Minas;Minas Gerais;MG;Sudeste
Santo Antônio do Rio Abaixo;Conceição do Mato Dentro;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
Santo Hipólito;Curvelo;Central Mineira;Minas Gerais;MG;Sudeste
Santos Dumont;Juiz de Fora;Zona da Mata;Minas Gerais;MG;Sudeste
São Bento Abade;Varginha;Sul/Sudoeste de Minas;Minas Gerais;MG;Sudeste
São Brás do Suaçuí;Conselheiro Lafaiete;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
São Domingos das Dores;Caratinga;Vale do Rio Doce;Minas Gerais;MG;Sudeste
São Domingos do Prata;Itabira;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
São Félix de Minas;Mantena;Vale do Rio Doce;Minas Gerais;MG;Sudeste
São Francisco;Januária;Norte de Minas;Minas Gerais;MG;Sudeste
São Francisco de Paula;Oliveira;Oeste de Minas;Minas Gerais;MG;Sudeste
São Francisco de Sales;Frutal;Triângulo Mineiro/Alto Paranaíba;Minas Gerais;MG;Sudeste
São Francisco do Glória;Muriaé;Zona da Mata;Minas Gerais;MG;Sudeste
São Geraldo;Ubá;Zona da Mata;Minas Gerais;MG;Sudeste
São Geraldo da Piedade;Governador Valadares;Vale do Rio Doce;Minas Gerais;MG;Sudeste
São Geraldo do Baixio;Governador Valadares;Vale do Rio Doce;Minas Gerais;MG;Sudeste
São Gonçalo do Abaeté;Paracatu;Noroeste de Minas;Minas Gerais;MG;Sudeste
São Gonçalo do Pará;Divinópolis;Oeste de Minas;Minas Gerais;MG;Sudeste
São Gonçalo do Rio Abaixo;Itabira;Metropolitana de Belo Horizonte;Minas Gerais;MG;Sudeste
São Gonçalo do Sapucaí;Santa Rita do Sapucaí;Sul/Sudoeste de Minas;Minas Gerais;MG;Sudeste
São Gotardo;Patos de Minas;Triângulo Mineiro/Alto Paranaíba;Minas Gerais;MG;Sudeste
São João Batista do Glória;Passos;Sul/Sudoeste de Minas;Minas Gerais;MG;Sudeste
São João da Lagoa;Montes Claros;Norte de Minas;Minas Gerais;MG;Sudeste
São João da Mata;Santa Rita do Sapucaí;Sul/Sudoeste de Minas;Minas Gerais;MG;Sudeste
São João da Ponte;Montes Claros;Norte de Minas;Minas Gerais;MG;Sudeste
São João das Missões;Januária;Norte de Minas;Minas Gerais;MG;Sudeste
